trials.thisRepN,num_distr,mouse.time,mouse.clicked_name,,,,,,,,,,,,,,,
0,10,1.2471228,,,,,,,,,,,,,,,,
1,5,2.108208,target',,,,,,,,,,,,,,,
2,5,1.7991267,target',,,,,,,,,,,,,,,
3,5,1.8752639,target',,,,,,,mean,1.698042157,set size 5,1.70277762,set size 10,,,,
4,10,1.9867871,target',,,,,,,,,,,,,,,1.698042157
5,10,2.3589832,target',,,,,,,,,,,,,,,
6,10,2.5873152,target',,,,,,,,,,,,,,,
7,10,3.1266254,target',,,,,,,,,,,,,,,
8,10,2.6370283,target',,,,,,,,,,,,,,,
9,5,1.6436737,target',,,,,,,,,,,,,,,
10,5,1.644773,target',,,,,,,,,,,,,,,
11,5,2.1759874,target',,,,,,,,,,,,,,,
12,5,1.3211661,target',,,,,,,,,,,,,,,
13,5,2.4441508,target',,,,,,,,,,,,,,,
14,10,1.8242697,target',,,,,,,,,,,,,,,
15,10,2.6441165,target',,,,,,,,,,,,,,,
16,10,3.8208439,target',,,,,,,,,,,,,,,
17,10,1.7936007,target',,,,,,,,,,,,,,,
18,10,1.9785342,target',,,,,,,,,,,,,,,
19,5,0.9822311,target',,,,,,,,,,,,,,,
20,5,0.9555853,target',,,,,,,,,,,,,,,
21,10,1.5632184,target',,,,,,,,,,,,,,,
22,5,1.6357713,target',,,,,,,,,,,,,,,
23,10,1.9691643,target',,,,,,,,,,,,,,,
24,5,1.54961,target',,,,,,,,,,,,,,,
25,10,1.8181283,target',,,,,,,,,,,,,,,
26,10,1.5819035,target',,,,,,,,,,,,,,,
27,5,1.731362,target',,,,,,,,,,,,,,,
28,5,1.7685289,target',,,,,,,,,,,,,,,
29,5,1.7657908,target',,,,,,,,,,,,,,,
30,10,1.9967256,target',,,,,,,,,,,,,,,
31,10,2.013095,target',,,,,,,,,,,,,,,
32,5,1.4986839,target',,,,,,,,,,,,,,,
33,10,1.5645408,target',,,,,,,,,,,,,,,
34,10,1.6642612,target',,,,,,,,,,,,,,,
35,10,1.8847959,target',,,,,,,,,,,,,,,
36,10,1.5470607,target',,,,,,,,,,,,,,,
37,10,2.3739098,target',,,,,,,,,,,,,,,
38,5,2.0179592,target',,,,,,,,,,,,,,,
39,5,1.3596364,target',,,,,,,,,,,,,,,
40,10,1.3016193,target',,,,,,,,,,,,,,,
41,10,2.1461946,target',,,,,,,,,,,,,,,
42,10,1.8387462,target',,,,,,,,,,,,,,,
43,10,1.5162474,target',,,,,,,,,,,,,,,
44,5,2.001258,target',,,,,,,,,,,,,,,
45,10,1.2629687,target',,,,,,,,,,,,,,,
46,10,1.6944198,target',,,,,,,,,,,,,,,
47,5,1.5408363,target',,,,,,,,,,,,,,,
48,10,1.4048424,target',,,,,,,,,,,,,,,
49,5,1.9185255,target',,,,,,,,,,,,,,,
50,10,2.6598217,target',,,,,,,,,,,,,,,
51,5,2.2260571,,,,,,,,,,,,,,,,
52,10,1.29216,target',,,,,,,,,,,,,,,
53,5,1.5737673,target',,,,,,,,,,,,,,,
54,5,1.4156715,target',,,,,,,,,,,,,,,
55,10,1.8758416,target',,,,,,,,,,,,,,,
56,10,1.4007759,target',,,,,,,,,,,,,,,
57,10,1.9299647,target',,,,,,,,,,,,,,,
58,5,1.160627,target',,,,,,,,,,,,,,,
59,5,1.3538233,target',,,,,,,,,,,,,,,
60,10,1.4758305,target',,,,,,,,,,,,,,,
61,10,1.65746,target',,,,,,,,,,,,,,,
62,10,2.1224623,target',,,,,,,,,,,,,,,
63,10,1.9328546,target',,,,,,,,,,,,,,,
64,5,1.2541695,target',,,,,,,,,,,,,,,
65,10,2.1326155,target',,,,,,,,,,,,,,,
66,5,1.5253108,target',,,,,,,,,,,,,,,
67,10,2.4767313,target',,,,,,,,,,,,,,,
68,5,2.2562105,target',,,,,,,,,,,,,,,
69,10,1.3849833,target',,,,,,,,,,,,,,,
70,10,2.1338677,target',,,,,,,,,,,,,,,
71,10,1.7722662,target',,,,,,,,,,,,,,,
72,10,1.760164,target',,,,,,,,,,,,,,,
73,10,1.5036324,target',,,,,,,,,,,,,,,
74,5,1.8328318,target',,,,,,,,,,,,,,,
75,5,1.9119859,target',,,,,,,,,,,,,,,
76,10,1.9103154,target',,,,,,,,,,,,,,,
77,5,1.2500304,target',,,,,,,,,,,,,,,
78,5,1.9912994,target',,,,,,,,,,,,,,,
79,10,1.0681911,target',,,,,,,,,,,,,,,
80,10,1.8974889,target',,,,,,,,,,,,,,,
81,10,1.5364109,target',,,,,,,,,,,,,,,
82,5,2.0638192,target',,,,,,,,,,,,,,,
83,5,1.581508,target',,,,,,,,,,,,,,,
84,10,1.4481794,target',,,,,,,,,,,,,,,
85,10,1.4932046,target',,,,,,,,,,,,,,,
86,5,1.4078626,target',,,,,,,,,,,,,,,
87,5,1.8602345,target',,,,,,,,,,,,,,,
88,5,1.7799161,target',,,,,,,,,,,,,,,
